Symptom 1,Symptom 2,Symptom 3,Medicine
stomach cramps,fungal infection,fever,"Cetirizine, Lomotil, Paracetamol"
muscle pain,,,Paracetamol
skin rash,sneezing,,Cetirizine
muscle pain,,,Paracetamol
cough,,,Azithromycin
inflammation,respiratory infection,,"Azithromycin, Diclofenac"
inflammation,runny nose,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
heartburn,joint pain,,"Aciloc, Diclofenac"
diarrhea,cough,itchy eyes,"Cetirizine, Azithromycin, Lomotil"
stomach cramps,runny nose,,"Cetirizine, Lomotil"
pain,heartburn,,"Aciloc, Diclofenac"
itchy eyes,runny nose,,Cetirizine
skin rash,,,Cetirizine
cough,,,Azithromycin
pain,sore throat,cough,"Azithromycin, Diclofenac"
skin rash,inflammation,,"Cetirizine, Diclofenac"
joint pain,,,Diclofenac
sneezing,runny nose,,Cetirizine
sneezing,fungal infection,skin rash,Cetirizine
diarrhea,,,Lomotil
cough,fever,,"Azithromycin, Paracetamol"
pain,runny nose,,"Cetirizine, Diclofenac"
nausea,stomach acid,inflammation,"Aciloc, Diclofenac"
cough,diarrhea,,"Azithromycin, Lomotil"
inflammation,,,Diclofenac
inflammation,fever,pain,"Paracetamol, Diclofenac"
fever,stomach acid,skin rash,"Cetirizine, Aciloc, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
nausea,,,Aciloc
nausea,cough,itchy eyes,"Azithromycin, Aciloc, Cetirizine"
skin rash,joint pain,sore throat,"Cetirizine, Azithromycin, Diclofenac"
heartburn,runny nose,pain,"Cetirizine, Aciloc, Diclofenac"
stomach cramps,heartburn,inflammation,"Aciloc, Lomotil, Diclofenac"
sore throat,stomach acid,skin rash,"Cetirizine, Azithromycin, Aciloc"
sore throat,sneezing,joint pain,"Cetirizine, Azithromycin, Diclofenac"
sore throat,itchy eyes,,"Cetirizine, Azithromycin"
nausea,itchy eyes,,"Cetirizine, Aciloc"
pain,headache,,"Paracetamol, Diclofenac"
heartburn,stomach acid,joint pain,"Aciloc, Diclofenac"
sneezing,inflammation,stomach acid,"Cetirizine, Aciloc, Diclofenac"
heartburn,fungal infection,skin rash,"Cetirizine, Aciloc"
inflammation,pain,,Diclofenac
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
heartburn,pain,sneezing,"Cetirizine, Aciloc, Diclofenac"
sneezing,joint pain,,"Cetirizine, Diclofenac"
runny nose,,,Cetirizine
heartburn,nausea,,Aciloc
runny nose,sore throat,,"Cetirizine, Azithromycin"
fever,stomach acid,,"Aciloc, Paracetamol"
headache,skin rash,cough,"Cetirizine, Azithromycin, Paracetamol"
cough,,,Azithromycin
bacterial infection,fever,,"Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
diarrhea,fever,fungal infection,"Cetirizine, Lomotil, Paracetamol"
diarrhea,skin rash,runny nose,"Cetirizine, Lomotil"
inflammation,stomach acid,,"Aciloc, Diclofenac"
heartburn,,,Aciloc
skin rash,sore throat,,"Cetirizine, Azithromycin"
pain,fungal infection,sore throat,"Cetirizine, Azithromycin, Diclofenac"
skin rash,,,Cetirizine
sneezing,muscle pain,,"Cetirizine, Paracetamol"
nausea,,,Aciloc
pain,bacterial infection,,"Azithromycin, Diclofenac"
heartburn,diarrhea,stomach acid,"Aciloc, Lomotil"
fever,diarrhea,skin rash,"Cetirizine, Lomotil, Paracetamol"
headache,itchy eyes,sore throat,"Cetirizine, Azithromycin, Paracetamol"
sneezing,pain,stomach acid,"Cetirizine, Aciloc, Diclofenac"
skin rash,fungal infection,cough,"Cetirizine, Azithromycin"
nausea,pain,fungal infection,"Cetirizine, Aciloc, Diclofenac"
pain,headache,,"Paracetamol, Diclofenac"
muscle pain,pain,,"Paracetamol, Diclofenac"
heartburn,,,Aciloc
respiratory infection,,,Azithromycin
sore throat,bacterial infection,headache,"Azithromycin, Paracetamol"
stomach acid,fungal infection,heartburn,"Cetirizine, Aciloc"
bacterial infection,sneezing,nausea,"Cetirizine, Azithromycin, Aciloc"
stomach acid,itchy eyes,heartburn,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
stomach acid,nausea,fever,"Aciloc, Paracetamol"
joint pain,diarrhea,,"Lomotil, Diclofenac"
nausea,sore throat,,"Azithromycin, Aciloc"
fever,,,Paracetamol
fever,stomach cramps,,"Lomotil, Paracetamol"
sore throat,stomach cramps,,"Azithromycin, Lomotil"
inflammation,stomach acid,,"Aciloc, Diclofenac"
fever,,,Paracetamol
pain,sneezing,heartburn,"Cetirizine, Aciloc, Diclofenac"
skin rash,respiratory infection,stomach acid,"Cetirizine, Azithromycin, Aciloc"
muscle pain,,,Paracetamol
bacterial infection,stomach cramps,stomach acid,"Azithromycin, Lomotil, Aciloc"
itchy eyes,,,Cetirizine
inflammation,itchy eyes,,"Cetirizine, Diclofenac"
sore throat,fever,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,,,Cetirizine
diarrhea,runny nose,headache,"Cetirizine, Lomotil, Paracetamol"
stomach acid,nausea,,Aciloc
diarrhea,fever,,"Lomotil, Paracetamol"
sneezing,itchy eyes,,Cetirizine
stomach acid,joint pain,nausea,"Aciloc, Diclofenac"
joint pain,respiratory infection,diarrhea,"Azithromycin, Lomotil, Diclofenac"
pain,stomach cramps,,"Lomotil, Diclofenac"
itchy eyes,fungal infection,runny nose,Cetirizine
fungal infection,,,Cetirizine
skin rash,,,Cetirizine
pain,,,Diclofenac
sore throat,runny nose,,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
sore throat,heartburn,,"Azithromycin, Aciloc"
respiratory infection,,,Azithromycin
diarrhea,,,Lomotil
joint pain,sore throat,respiratory infection,"Azithromycin, Diclofenac"
bacterial infection,,,Azithromycin
nausea,,,Aciloc
sneezing,runny nose,,Cetirizine
respiratory infection,diarrhea,,"Azithromycin, Lomotil"
fungal infection,fever,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
bacterial infection,runny nose,nausea,"Cetirizine, Azithromycin, Aciloc"
stomach acid,,,Aciloc
cough,diarrhea,,"Azithromycin, Lomotil"
stomach cramps,headache,,"Lomotil, Paracetamol"
diarrhea,heartburn,,"Aciloc, Lomotil"
cough,sore throat,,Azithromycin
joint pain,fungal infection,respiratory infection,"Cetirizine, Azithromycin, Diclofenac"
nausea,,,Aciloc
bacterial infection,pain,,"Azithromycin, Diclofenac"
headache,,,Paracetamol
diarrhea,,,Lomotil
muscle pain,,,Paracetamol
sore throat,cough,fever,"Azithromycin, Paracetamol"
stomach cramps,pain,bacterial infection,"Azithromycin, Lomotil, Diclofenac"
pain,skin rash,joint pain,"Cetirizine, Diclofenac"
sore throat,stomach cramps,joint pain,"Azithromycin, Lomotil, Diclofenac"
respiratory infection,fungal infection,pain,"Cetirizine, Azithromycin, Diclofenac"
headache,,,Paracetamol
fever,muscle pain,stomach cramps,"Lomotil, Paracetamol"
inflammation,bacterial infection,,"Azithromycin, Diclofenac"
cough,headache,,"Azithromycin, Paracetamol"
runny nose,,,Cetirizine
runny nose,bacterial infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
joint pain,sore throat,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
headache,inflammation,,"Paracetamol, Diclofenac"
bacterial infection,pain,diarrhea,"Azithromycin, Lomotil, Diclofenac"
headache,cough,respiratory infection,"Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
sore throat,runny nose,stomach cramps,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
sore throat,fever,,"Azithromycin, Paracetamol"
muscle pain,bacterial infection,,"Azithromycin, Paracetamol"
cough,stomach acid,,"Azithromycin, Aciloc"
respiratory infection,headache,,"Azithromycin, Paracetamol"
inflammation,skin rash,fever,"Cetirizine, Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
respiratory infection,nausea,,"Azithromycin, Aciloc"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
heartburn,sore throat,,"Azithromycin, Aciloc"
nausea,,,Aciloc
heartburn,sneezing,,"Cetirizine, Aciloc"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
pain,,,Diclofenac
joint pain,runny nose,,"Cetirizine, Diclofenac"
stomach cramps,fever,,"Lomotil, Paracetamol"
stomach acid,muscle pain,,"Aciloc, Paracetamol"
itchy eyes,pain,fungal infection,"Cetirizine, Diclofenac"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
respiratory infection,stomach cramps,,"Azithromycin, Lomotil"
itchy eyes,,,Cetirizine
skin rash,heartburn,diarrhea,"Cetirizine, Aciloc, Lomotil"
diarrhea,respiratory infection,,"Azithromycin, Lomotil"
cough,heartburn,nausea,"Azithromycin, Aciloc"
heartburn,fever,,"Aciloc, Paracetamol"
heartburn,,,Aciloc
sore throat,,,Azithromycin
runny nose,,,Cetirizine
runny nose,,,Cetirizine
stomach cramps,fever,,"Lomotil, Paracetamol"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
joint pain,,,Diclofenac
sore throat,cough,,Azithromycin
bacterial infection,itchy eyes,,"Cetirizine, Azithromycin"
itchy eyes,,,Cetirizine
inflammation,,,Diclofenac
sore throat,,,Azithromycin
inflammation,,,Diclofenac
diarrhea,heartburn,,"Aciloc, Lomotil"
joint pain,sneezing,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
heartburn,sneezing,,"Cetirizine, Aciloc"
headache,,,Paracetamol
diarrhea,sore throat,,"Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
itchy eyes,cough,runny nose,"Cetirizine, Azithromycin"
fever,,,Paracetamol
fever,sore throat,,"Azithromycin, Paracetamol"
inflammation,sneezing,,"Cetirizine, Diclofenac"
fever,cough,itchy eyes,"Cetirizine, Azithromycin, Paracetamol"
diarrhea,fungal infection,,"Cetirizine, Lomotil"
muscle pain,,,Paracetamol
respiratory infection,itchy eyes,sore throat,"Cetirizine, Azithromycin"
cough,sore throat,fungal infection,"Cetirizine, Azithromycin"
itchy eyes,nausea,runny nose,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
cough,respiratory infection,sneezing,"Cetirizine, Azithromycin"
sneezing,sore throat,headache,"Cetirizine, Azithromycin, Paracetamol"
stomach acid,,,Aciloc
fungal infection,fever,,"Cetirizine, Paracetamol"
inflammation,sneezing,nausea,"Cetirizine, Aciloc, Diclofenac"
runny nose,fungal infection,,Cetirizine
runny nose,,,Cetirizine
pain,fever,,"Paracetamol, Diclofenac"
diarrhea,,,Lomotil
joint pain,headache,sneezing,"Cetirizine, Paracetamol, Diclofenac"
diarrhea,bacterial infection,respiratory infection,"Azithromycin, Lomotil"
sneezing,heartburn,runny nose,"Cetirizine, Aciloc"
heartburn,sneezing,,"Cetirizine, Aciloc"
heartburn,,,Aciloc
fever,bacterial infection,,"Azithromycin, Paracetamol"
respiratory infection,headache,,"Azithromycin, Paracetamol"
fever,inflammation,,"Paracetamol, Diclofenac"
stomach acid,heartburn,nausea,Aciloc
respiratory infection,,,Azithromycin
inflammation,,,Diclofenac
stomach acid,,,Aciloc
muscle pain,,,Paracetamol
sneezing,sore throat,,"Cetirizine, Azithromycin"
fever,,,Paracetamol
respiratory infection,,,Azithromycin
pain,respiratory infection,,"Azithromycin, Diclofenac"
skin rash,diarrhea,respiratory infection,"Cetirizine, Azithromycin, Lomotil"
fever,stomach acid,,"Aciloc, Paracetamol"
stomach cramps,skin rash,,"Cetirizine, Lomotil"
skin rash,,,Cetirizine
fungal infection,headache,stomach acid,"Cetirizine, Aciloc, Paracetamol"
skin rash,bacterial infection,sneezing,"Cetirizine, Azithromycin"
skin rash,headache,,"Cetirizine, Paracetamol"
fever,,,Paracetamol
cough,,,Azithromycin
heartburn,,,Aciloc
bacterial infection,nausea,joint pain,"Azithromycin, Aciloc, Diclofenac"
nausea,runny nose,,"Cetirizine, Aciloc"
runny nose,sore throat,,"Cetirizine, Azithromycin"
headache,,,Paracetamol
stomach cramps,,,Lomotil
fever,cough,,"Azithromycin, Paracetamol"
pain,stomach acid,cough,"Azithromycin, Aciloc, Diclofenac"
headache,,,Paracetamol
muscle pain,,,Paracetamol
inflammation,pain,nausea,"Aciloc, Diclofenac"
muscle pain,,,Paracetamol
bacterial infection,muscle pain,,"Azithromycin, Paracetamol"
stomach cramps,muscle pain,,"Lomotil, Paracetamol"
bacterial infection,,,Azithromycin
itchy eyes,,,Cetirizine
fungal infection,pain,stomach acid,"Cetirizine, Aciloc, Diclofenac"
inflammation,muscle pain,joint pain,"Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
fungal infection,,,Cetirizine
fungal infection,runny nose,bacterial infection,"Cetirizine, Azithromycin"
bacterial infection,itchy eyes,nausea,"Cetirizine, Azithromycin, Aciloc"
itchy eyes,,,Cetirizine
muscle pain,headache,sneezing,"Cetirizine, Paracetamol"
bacterial infection,stomach cramps,sneezing,"Cetirizine, Azithromycin, Lomotil"
itchy eyes,diarrhea,,"Cetirizine, Lomotil"
fungal infection,stomach cramps,,"Cetirizine, Lomotil"
runny nose,joint pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
headache,,,Paracetamol
headache,,,Paracetamol
bacterial infection,headache,,"Azithromycin, Paracetamol"
nausea,joint pain,pain,"Aciloc, Diclofenac"
respiratory infection,bacterial infection,,Azithromycin
sneezing,stomach cramps,,"Cetirizine, Lomotil"
pain,,,Diclofenac
nausea,,,Aciloc
itchy eyes,sore throat,,"Cetirizine, Azithromycin"
muscle pain,inflammation,,"Paracetamol, Diclofenac"
joint pain,inflammation,,Diclofenac
nausea,,,Aciloc
runny nose,cough,skin rash,"Cetirizine, Azithromycin"
respiratory infection,skin rash,sore throat,"Cetirizine, Azithromycin"
headache,runny nose,respiratory infection,"Cetirizine, Azithromycin, Paracetamol"
muscle pain,sore throat,pain,"Azithromycin, Paracetamol, Diclofenac"
inflammation,stomach acid,,"Aciloc, Diclofenac"
sneezing,stomach acid,muscle pain,"Cetirizine, Aciloc, Paracetamol"
joint pain,,,Diclofenac
cough,sore throat,pain,"Azithromycin, Diclofenac"
bacterial infection,heartburn,cough,"Azithromycin, Aciloc"
muscle pain,respiratory infection,,"Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
diarrhea,pain,,"Lomotil, Diclofenac"
nausea,respiratory infection,headache,"Azithromycin, Aciloc, Paracetamol"
itchy eyes,headache,fungal infection,"Cetirizine, Paracetamol"
respiratory infection,,,Azithromycin
joint pain,,,Diclofenac
sneezing,fever,,"Cetirizine, Paracetamol"
stomach acid,,,Aciloc
heartburn,,,Aciloc
inflammation,,,Diclofenac
stomach cramps,cough,,"Azithromycin, Lomotil"
respiratory infection,pain,muscle pain,"Azithromycin, Paracetamol, Diclofenac"
diarrhea,bacterial infection,fever,"Azithromycin, Lomotil, Paracetamol"
diarrhea,pain,sore throat,"Azithromycin, Lomotil, Diclofenac"
fungal infection,pain,,"Cetirizine, Diclofenac"
runny nose,sneezing,,Cetirizine
heartburn,,,Aciloc
stomach cramps,,,Lomotil
respiratory infection,nausea,pain,"Azithromycin, Aciloc, Diclofenac"
fungal infection,heartburn,itchy eyes,"Cetirizine, Aciloc"
muscle pain,,,Paracetamol
joint pain,stomach cramps,fungal infection,"Cetirizine, Lomotil, Diclofenac"
bacterial infection,,,Azithromycin
sneezing,,,Cetirizine
bacterial infection,itchy eyes,sneezing,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
skin rash,,,Cetirizine
fever,,,Paracetamol
runny nose,,,Cetirizine
sneezing,respiratory infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
sore throat,nausea,,"Azithromycin, Aciloc"
sore throat,itchy eyes,cough,"Cetirizine, Azithromycin"
stomach acid,stomach cramps,,"Aciloc, Lomotil"
nausea,joint pain,,"Aciloc, Diclofenac"
headache,nausea,itchy eyes,"Cetirizine, Aciloc, Paracetamol"
sneezing,fungal infection,,Cetirizine
nausea,stomach cramps,sore throat,"Azithromycin, Aciloc, Lomotil"
stomach acid,,,Aciloc
itchy eyes,stomach cramps,,"Cetirizine, Lomotil"
cough,,,Azithromycin
fungal infection,,,Cetirizine
fever,stomach cramps,,"Lomotil, Paracetamol"
diarrhea,,,Lomotil
respiratory infection,runny nose,,"Cetirizine, Azithromycin"
skin rash,muscle pain,,"Cetirizine, Paracetamol"
heartburn,cough,muscle pain,"Azithromycin, Aciloc, Paracetamol"
sneezing,stomach cramps,,"Cetirizine, Lomotil"
runny nose,,,Cetirizine
nausea,,,Aciloc
heartburn,pain,cough,"Azithromycin, Aciloc, Diclofenac"
sore throat,runny nose,respiratory infection,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
diarrhea,itchy eyes,,"Cetirizine, Lomotil"
nausea,itchy eyes,sneezing,"Cetirizine, Aciloc"
inflammation,,,Diclofenac
pain,respiratory infection,,"Azithromycin, Diclofenac"
stomach acid,sore throat,,"Azithromycin, Aciloc"
stomach cramps,,,Lomotil
stomach cramps,,,Lomotil
respiratory infection,bacterial infection,,Azithromycin
pain,fever,nausea,"Aciloc, Paracetamol, Diclofenac"
sore throat,cough,skin rash,"Cetirizine, Azithromycin"
cough,bacterial infection,joint pain,"Azithromycin, Diclofenac"
fever,,,Paracetamol
heartburn,,,Aciloc
fever,fungal infection,,"Cetirizine, Paracetamol"
runny nose,bacterial infection,,"Cetirizine, Azithromycin"
inflammation,,,Diclofenac
cough,itchy eyes,,"Cetirizine, Azithromycin"
stomach cramps,,,Lomotil
respiratory infection,sore throat,,Azithromycin
stomach cramps,sneezing,,"Cetirizine, Lomotil"
cough,sore throat,muscle pain,"Azithromycin, Paracetamol"
muscle pain,itchy eyes,stomach acid,"Cetirizine, Aciloc, Paracetamol"
muscle pain,,,Paracetamol
respiratory infection,joint pain,stomach acid,"Azithromycin, Aciloc, Diclofenac"
diarrhea,muscle pain,,"Lomotil, Paracetamol"
stomach cramps,,,Lomotil
sore throat,,,Azithromycin
diarrhea,headache,,"Lomotil, Paracetamol"
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
bacterial infection,fever,runny nose,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,skin rash,,Cetirizine
sneezing,stomach cramps,,"Cetirizine, Lomotil"
skin rash,itchy eyes,,Cetirizine
sore throat,skin rash,,"Cetirizine, Azithromycin"
headache,,,Paracetamol
runny nose,,,Cetirizine
diarrhea,fever,,"Lomotil, Paracetamol"
headache,inflammation,sore throat,"Azithromycin, Paracetamol, Diclofenac"
sore throat,muscle pain,,"Azithromycin, Paracetamol"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
cough,joint pain,,"Azithromycin, Diclofenac"
sneezing,nausea,,"Cetirizine, Aciloc"
runny nose,nausea,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
nausea,pain,fever,"Aciloc, Paracetamol, Diclofenac"
sneezing,joint pain,skin rash,"Cetirizine, Diclofenac"
nausea,fungal infection,,"Cetirizine, Aciloc"
cough,,,Azithromycin
skin rash,,,Cetirizine
sore throat,stomach cramps,bacterial infection,"Azithromycin, Lomotil"
stomach cramps,stomach acid,nausea,"Aciloc, Lomotil"
respiratory infection,,,Azithromycin
stomach acid,respiratory infection,,"Azithromycin, Aciloc"
joint pain,fungal infection,,"Cetirizine, Diclofenac"
cough,respiratory infection,,Azithromycin
inflammation,,,Diclofenac
itchy eyes,,,Cetirizine
inflammation,fever,,"Paracetamol, Diclofenac"
muscle pain,,,Paracetamol
joint pain,,,Diclofenac
sneezing,,,Cetirizine
diarrhea,cough,fever,"Azithromycin, Lomotil, Paracetamol"
skin rash,runny nose,inflammation,"Cetirizine, Diclofenac"
stomach acid,joint pain,,"Aciloc, Diclofenac"
inflammation,respiratory infection,,"Azithromycin, Diclofenac"
bacterial infection,joint pain,skin rash,"Cetirizine, Azithromycin, Diclofenac"
headache,itchy eyes,respiratory infection,"Cetirizine, Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
respiratory infection,sore throat,muscle pain,"Azithromycin, Paracetamol"
stomach acid,joint pain,,"Aciloc, Diclofenac"
diarrhea,runny nose,,"Cetirizine, Lomotil"
nausea,,,Aciloc
stomach cramps,,,Lomotil
skin rash,inflammation,nausea,"Cetirizine, Aciloc, Diclofenac"
bacterial infection,inflammation,stomach acid,"Azithromycin, Aciloc, Diclofenac"
itchy eyes,respiratory infection,,"Cetirizine, Azithromycin"
joint pain,,,Diclofenac
inflammation,joint pain,diarrhea,"Lomotil, Diclofenac"
stomach acid,stomach cramps,,"Aciloc, Lomotil"
inflammation,,,Diclofenac
inflammation,stomach cramps,,"Lomotil, Diclofenac"
stomach cramps,,,Lomotil
skin rash,itchy eyes,,Cetirizine
skin rash,fever,,"Cetirizine, Paracetamol"
stomach acid,respiratory infection,,"Azithromycin, Aciloc"
runny nose,respiratory infection,,"Cetirizine, Azithromycin"
skin rash,,,Cetirizine
bacterial infection,,,Azithromycin
fever,,,Paracetamol
cough,inflammation,fungal infection,"Cetirizine, Azithromycin, Diclofenac"
fungal infection,,,Cetirizine
sneezing,fever,pain,"Cetirizine, Paracetamol, Diclofenac"
skin rash,heartburn,headache,"Cetirizine, Aciloc, Paracetamol"
heartburn,respiratory infection,,"Azithromycin, Aciloc"
sore throat,fungal infection,,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
sneezing,nausea,,"Cetirizine, Aciloc"
fever,,,Paracetamol
respiratory infection,sore throat,bacterial infection,Azithromycin
pain,fever,,"Paracetamol, Diclofenac"
diarrhea,skin rash,joint pain,"Cetirizine, Lomotil, Diclofenac"
muscle pain,,,Paracetamol
joint pain,sneezing,,"Cetirizine, Diclofenac"
headache,joint pain,,"Paracetamol, Diclofenac"
skin rash,,,Cetirizine
runny nose,inflammation,fever,"Cetirizine, Paracetamol, Diclofenac"
pain,cough,,"Azithromycin, Diclofenac"
bacterial infection,cough,,Azithromycin
fever,sneezing,diarrhea,"Cetirizine, Lomotil, Paracetamol"
cough,sore throat,joint pain,"Azithromycin, Diclofenac"
muscle pain,,,Paracetamol
heartburn,,,Aciloc
pain,cough,,"Azithromycin, Diclofenac"
runny nose,diarrhea,pain,"Cetirizine, Lomotil, Diclofenac"
stomach cramps,sneezing,,"Cetirizine, Lomotil"
stomach cramps,fungal infection,,"Cetirizine, Lomotil"
heartburn,,,Aciloc
itchy eyes,joint pain,sneezing,"Cetirizine, Diclofenac"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
respiratory infection,,,Azithromycin
skin rash,,,Cetirizine
headache,muscle pain,inflammation,"Paracetamol, Diclofenac"
joint pain,stomach acid,,"Aciloc, Diclofenac"
headache,nausea,itchy eyes,"Cetirizine, Aciloc, Paracetamol"
pain,runny nose,,"Cetirizine, Diclofenac"
fever,muscle pain,stomach acid,"Aciloc, Paracetamol"
sore throat,,,Azithromycin
headache,cough,sore throat,"Azithromycin, Paracetamol"
muscle pain,,,Paracetamol
sore throat,fungal infection,,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
sneezing,,,Cetirizine
inflammation,,,Diclofenac
headache,,,Paracetamol
pain,,,Diclofenac
joint pain,stomach acid,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
runny nose,cough,,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
pain,fungal infection,sore throat,"Cetirizine, Azithromycin, Diclofenac"
pain,joint pain,,Diclofenac
diarrhea,,,Lomotil
skin rash,stomach acid,fever,"Cetirizine, Aciloc, Paracetamol"
fever,,,Paracetamol
bacterial infection,,,Azithromycin
pain,sore throat,heartburn,"Azithromycin, Aciloc, Diclofenac"
nausea,respiratory infection,,"Azithromycin, Aciloc"
stomach cramps,fungal infection,nausea,"Cetirizine, Aciloc, Lomotil"
nausea,skin rash,,"Cetirizine, Aciloc"
respiratory infection,stomach acid,headache,"Azithromycin, Aciloc, Paracetamol"
bacterial infection,fungal infection,,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
itchy eyes,nausea,,"Cetirizine, Aciloc"
pain,,,Diclofenac
inflammation,,,Diclofenac
sneezing,joint pain,,"Cetirizine, Diclofenac"
sore throat,stomach cramps,pain,"Azithromycin, Lomotil, Diclofenac"
sore throat,heartburn,,"Azithromycin, Aciloc"
runny nose,nausea,,"Cetirizine, Aciloc"
headache,inflammation,,"Paracetamol, Diclofenac"
joint pain,runny nose,,"Cetirizine, Diclofenac"
bacterial infection,heartburn,,"Azithromycin, Aciloc"
joint pain,runny nose,cough,"Cetirizine, Azithromycin, Diclofenac"
fever,,,Paracetamol
fever,nausea,,"Aciloc, Paracetamol"
fungal infection,,,Cetirizine
stomach acid,skin rash,,"Cetirizine, Aciloc"
diarrhea,pain,inflammation,"Lomotil, Diclofenac"
pain,,,Diclofenac
headache,itchy eyes,,"Cetirizine, Paracetamol"
cough,,,Azithromycin
nausea,sore throat,,"Azithromycin, Aciloc"
stomach cramps,,,Lomotil
sneezing,,,Cetirizine
runny nose,cough,,"Cetirizine, Azithromycin"
headache,heartburn,,"Aciloc, Paracetamol"
pain,respiratory infection,,"Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
heartburn,stomach acid,nausea,Aciloc
stomach acid,,,Aciloc
respiratory infection,runny nose,,"Cetirizine, Azithromycin"
sneezing,stomach cramps,itchy eyes,"Cetirizine, Lomotil"
nausea,inflammation,respiratory infection,"Azithromycin, Aciloc, Diclofenac"
skin rash,,,Cetirizine
bacterial infection,runny nose,fever,"Cetirizine, Azithromycin, Paracetamol"
sneezing,fungal infection,cough,"Cetirizine, Azithromycin"
bacterial infection,,,Azithromycin
sneezing,muscle pain,,"Cetirizine, Paracetamol"
joint pain,inflammation,,Diclofenac
